,tfidf_word,tfidf
0,지출,0.3405849200294202
1,없다,0.24663045933164912
2,생각,0.23582569635140543
3,만원,0.21562548730138464
4,가계부,0.20716958583858525
5,좋다,0.19542527825136385
6,아니다,0.14844804790247831
7,소비,0.14797827559898946
8,적금,0.14375032486758976
9,많다,0.12824783885245752
10,통장,0.11885239278268044
11,직장인,0.11509421435476959
12,시작,0.11321512514081417
13,목표,0.11227558053383645
14,테크,0.1075778574989479
15,정도,0.10522899598150362
16,그렇다,0.10288013446405934
17,사람,0.0991219560361485
18,사용,0.0981824114291708
19,공부,0.09724286682219307
20,회사,0.09583354991172652
21,식비,0.09254514378730452
22,투자,0.0906660545733491
23,때문,0.0897265099663714
24,포인트,0.08502878693148283
25,뱅크,0.08408924232450513
26,금액,0.08314969771752742
27,아침,0.07798220237915
28,친구,0.0770426577721723
29,매일,0.07657288546868343
30,정말,0.07610311316519458
31,생활비,0.07093561782681718
32,점심,0.07093561782681718
33,지금,0.06811698400588403
34,저녁,0.06811698400588403
35,계획,0.06670766709541748
36,저축,0.06341926097099548
37,비용,0.06294948866750663
38,커피,0.06247971636401777
39,방법,0.06107039945355121
40,관리,0.060600627150062356
41,정리,0.060130854846573496
42,출근,0.060130854846573496
43,이자,0.059661082543084644
44,수입,0.05872153793610693
45,이렇다,0.05731222102564037
46,카카오,0.05731222102564037
47,구매,0.05684244872215151
48,절약,0.05684244872215151
49,월급,0.05684244872215151
50,카페,0.05684244872215151
51,예산,0.05637267641866266
52,운동,0.055433131811684945
53,마음,0.055433131811684945
54,계좌,0.055433131811684945
55,토스,0.054963359508196086
56,작성,0.054023814901218374
57,재테크,0.05355404259772952
58,위해,0.05214472568726296
59,생활,0.0516749533837741
60,카드,0.0516749533837741
61,가입,0.04932609186632982
62,다시,0.048856319562840964
63,가능하다,0.048856319562840964
64,퇴근,0.04838654725935211
65,가지,0.04791677495586326
66,어플,0.0474470026523744
67,필요하다,0.0474470026523744
68,이제,0.046037685741907836
69,보고,0.045567913438418976
70,도시락,0.045098141134930124
71,고정,0.04368882422446356
72,할인,0.04368882422446356
73,맛있다,0.0432190519209747
74,주차,0.04274927961748585
75,좋아하다,0.04274927961748585
76,사실,0.04274927961748585
77,주말,0.04180973501050814
78,교통비,0.04133996270701928
79,한번,0.040870190403530425
80,쓰기,0.040400418100041566
81,보기,0.040400418100041566
82,포스팅,0.040400418100041566
83,선물,0.040400418100041566
84,페이,0.03852132888608615
85,가장,0.03852132888608615
86,사진,0.03852132888608615
87,올해,0.03805155658259729
88,그냥,0.03805155658259729
89,멀다,0.03805155658259729
90,새롭다,0.03805155658259729
91,선택,0.03805155658259729
92,습관,0.03758178427910844
93,준비,0.03711201197561958
94,처음,0.03711201197561958
95,독서,0.03617246736864187
96,부분,0.035702695065153014
97,확인,0.035702695065153014
98,이벤트,0.03523292276166416
99,용돈,0.03523292276166416
100,추가,0.03523292276166416
101,금리,0.03523292276166416
102,기프티콘,0.0347631504581753
103,신청,0.0347631504581753
104,이용,0.0347631504581753
105,고민,0.0347631504581753
106,안되다,0.03429337815468645
107,주식,0.03382360585119759
108,천원,0.03335383354770874
109,결제,0.03335383354770874
110,현재,0.03335383354770874
111,현금,0.03288406124421988
112,느낌,0.03288406124421988
113,계속,0.03194451663724217
114,꾸준하다,0.03194451663724217
115,대학생,0.03194451663724217
116,변동,0.031474744333753316
117,비상,0.031474744333753316
118,예정,0.031474744333753316
119,외식,0.031474744333753316
120,기분,0.031474744333753316
121,적립,0.03100497203026446
122,일주일,0.03100497203026446
123,가족,0.03100497203026446
124,기준,0.030065427423286748
125,파킹,0.02964095129351184
126,참여,0.029595655119797892
127,통해,0.029595655119797892
128,발생,0.029125882816309036
129,관련,0.028656110512820184
130,추천,0.028656110512820184
131,알뜰,0.028656110512820184
132,달성,0.028656110512820184
133,진행,0.02818633820933133
134,어렵다,0.02818633820933133
135,마지막,0.02818633820933133
136,유튜브,0.02818633820933133
137,지역,0.02818633820933133
138,매달,0.02818633820933133
139,개인,0.02818633820933133
140,패널,0.02783877779050573
141,교통카드,0.027716565905842473
142,경제,0.027716565905842473
143,내용,0.027716565905842473
144,엄마,0.027716565905842473
145,청년,0.027246793602353617
146,이유,0.027246793602353617
147,인생,0.027246793602353617
148,개월,0.02677702129886476
149,아프다,0.026307248995375905
150,무료,0.026307248995375905
151,편하다,0.026307248995375905
152,대해,0.026307248995375905
153,약속,0.02583747669188705
154,은행,0.02583747669188705
155,포함,0.025367704388398193
156,다이어리,0.025367704388398193
157,아주,0.025367704388398193
158,실천,0.025367704388398193
159,원래,0.025367704388398193
160,배달,0.025367704388398193
161,노력,0.025367704388398193
162,최근,0.025367704388398193
163,구입,0.025367704388398193
164,월요일,0.024897932084909338
165,직장,0.024897932084909338
166,기간,0.024897932084909338
167,힘들다,0.024897932084909338
168,어제,0.024428159781420482
169,소득,0.024428159781420482
170,간단하다,0.024428159781420482
171,대출,0.024428159781420482
172,금요일,0.024428159781420482
173,데이,0.02395838747793163
174,상품,0.02395838747793163
175,인터파크,0.023861809534719197
176,중요하다,0.023488615174442774
177,여행,0.023488615174442774
178,대한,0.023018842870953918
179,완료,0.023018842870953918
180,강의,0.023018842870953918
181,금융,0.023018842870953918
182,청약,0.023018842870953918
183,버스,0.022549070567465062
184,부동산,0.022549070567465062
185,가격,0.022549070567465062
186,다양하다,0.022549070567465062
187,식사,0.022549070567465062
188,간식,0.022549070567465062
189,나름,0.022549070567465062
190,도전,0.022549070567465062
191,평소,0.022079298263976206
192,상황,0.022079298263976206
